name,TRI,mean_elev,median_elev,min_elev,max_elev,mean_csi,sd_csi,n_habitat,archipelago
Big Major?s Spot,10.20322091,10.96396396,11,-2,22,0.132161498,0.011106264,9,carib
Big Mangrove Cay,2.303398307,-0.292237443,0,-2,2,0.177715987,0.005191763,8,carib
Big Wood Cay,3.58192434,5.226118584,5,-52,60,0.125017589,0.001532701,7,carib
Bird Cay,24.34503758,5.431192661,6,-64,33,0.163320147,0.008648101,7,carib
Bitter Guana Cay,11.3891916,10.47142857,10,-9,25,0.134924049,0.007982275,8,carib
Bock Cay,7.36953416,8.795665635,8,-3,24,0.14276503,0.014277161,8,carib
Bonavista Cay,4.499412752,4.198019802,4,-1,14,0.16759416,0.004838881,5,carib
Bonds Cay,7.216901397,10.22671353,10,1,22,0.131772228,0.003271322,5,carib
Bowe Cay,3.66498668,4.018604651,4,0,8,0.135941178,0.004836372,12,carib
Brigantine Cay,7.255952156,6.523404255,6,-1,19,0.136978291,0.007353751,7,carib
Caja de Muertos,14.33056718,13.50347222,9,-2,62,0.136704877,NA,5,carib
Canouan,43.40847988,54.76074499,44,0,234,0.157245323,NA,6,carib
Carriacou Island,33.91220888,66.61167513,48,1,285,0.152968921,0.003590585,4,carib
Castle,16.31599217,5.25,6,-230,59,0.135752067,0.063707743,8,carib
Cat,6.34740276,11.19747199,9,-245,110,0.132290761,0.008756092,6,carib
Cave Cay,7.660064861,9.134883721,9,2,19,0.134077348,0.004746673,5,carib
Cay Sal,4.447946777,5.380566802,5,2,11,0.139804423,NA,7,carib
Cayeria Las Cayamas,3.041858894,4.848976711,5,-3,10,0.132527098,NA,7,carib
Cayeria Las Cayamas.1,3.220491955,5,5,0,10,0.133697197,NA,14,carib
Cayeria Las Cayamas.2,3.872091837,5.514705882,5,-2,16,0.13440866,0.001006161,6,carib
Cayman Brac Island,7.333147598,23.64184921,23,-49,53,0.157625258,NA,16,carib
Cayo Alacrán Chico,9.67896084,6.426633785,6,-39,102,0.127363533,NA,7,carib
Cayo Algodón Grande,4.129786805,0.026281209,0,-34,5,0.148161843,NA,2,carib
Cayo Anclitas,5.900732914,1.78630137,2,-38,24,0.147817418,NA,5,carib
Cayo Antón Chico,3.909445855,3.053763441,3,-1,7,0.131281003,0.000941961,4,carib
Cayo Antón Grande,2.612807936,2.46866485,2,0,7,0.135133009,0.004723751,7,carib
Cayo Ávalos,6.066135552,6.19269103,6,0,15,0.136322774,0.001517172,9,carib
Cayo Bahía de Cádiz,3.986558923,5.704688909,6,-1,13,0.128534496,NA,11,carib
Cayo Balandras,2.209070743,1.41,1,-1,4,0.146199949,0.000479621,8,carib
Cayo Blanco,4.042887824,5.541371158,5,-1,17,0.138353661,0.00110196,7,carib
Cayo Blanquizal,3.602768865,4.972727273,4,0,15,0.128818572,NA,6,carib
Cayo Boca Ciega,2.78410385,2.548076923,2,0,7,0.140253007,0.016054807,7,carib
Cayo Boca Seca,18.0222308,-0.265625,1,-49,3,0.169960871,NA,4,carib
Cayo Botella,2.746971541,3.330037354,3,-1,11,0.124150507,NA,9,carib
Cayo Cabezos,5.468820308,4.557409225,5,-78,45,0.131640092,0.002712899,7,carib
Cayo Campos,11.28508155,5.867088608,7,-338,31,0.14057337,0.007702257,8,carib
Cayo Cantiles,3.893057565,6.4207421,6,-7,17,0.13084875,0.004094879,7,carib
Cayo Coco,2.966433656,6.309907355,6,-13,15,0.126831224,0.001792185,8,carib
Cayo Coco.1,5.07245361,5.606217617,5,-2,27,0.146755517,0.002213371,5,carib
Cayo Coco.2,5.475884175,7.438130156,7,-5,15,0.142736062,NA,9,carib
Cayo Coruita,5.79221889,6.332425068,6,-10,27,0.123093781,0.001626701,8,carib
Cayo Cruz,4.142414346,1.829518717,2,-105,73,0.13564083,NA,7,carib
Cayo Cruz del Padre,3.754790785,5.4342723,5,-1,11,0.133985862,0.001552585,10,carib
Cayo Cuarto,5.660774951,4.964028777,5,-5,27,0.132987678,0.001085121,14,carib
Cayo de Buenavista,4.397840142,6.055759056,6,-6,14,0.153764591,NA,6,carib
Cayo de la Cruz,3.192507148,4.417127072,4,0,8,0.131703049,0.003042644,7,carib
Cayo de la Pipa,4.28244286,4.2899729,4,0,9,0.12702528,0.005448589,6,carib
Cayo de los Indios,11.45772565,6.689376443,7,-114,57,0.137194984,0.000201072,9,carib
Cayo de Navío,5.035029564,5.425959781,5,-1,14,0.12480028,NA,6,carib
Cayo del Cristo,5.626868507,5.171875,5,-14,11,0.135811821,0.00879651,7,carib
Cayo del Masío,3.255750234,6.20043573,6,2,13,0.125034031,0.002257665,8,carib
Cayo del Medio de Marcos,2.739546108,3.103857567,3,0,7,0.122376148,0.001909152,4,carib
Cayo del Pasaje,4.655267471,8.276785714,8,4,13,NA,NA,5,carib
Cayo del Rosario,4.030646847,7.033893221,7,-1,51,0.129420899,0.000921341,6,carib
Cayo Diego,8.761081919,8.947867299,9,1,26,0.133917265,0.004047499,9,carib
Cayo Diego Pérez,3.721492773,6.331186259,6,-5,13,0.128407612,NA,8,carib
Cayo Divisa de Piedra,4.583589097,8.297709924,8,4,14,0.127943046,0.001346918,6,carib
Cayo Doña María,6.804352978,7.382882883,7,1,17,0.131385565,0.009590494,5,carib
Cayo El Sapo,3.712219637,2.40923825,2,-81,18,0.126233369,0.001061067,5,carib
Cayo Empalizada de Sotavento,3.721042937,4.715950181,4,-11,25,0.127884105,NA,6,carib
Cayo Ernest Thaelmann,7.48482131,4.346982759,5,-186,32,0.132102367,0.005751549,7,carib
Cayo Esquivel del Sur,3.66180963,5.865814696,6,-5,46,0.130752859,0.0028846,6,carib
Cayo Estopa,6.322564433,7.272980501,7,-17,28,0.132415622,0.00014056,6,carib
Cayo Flamenco,5.791514023,5.971698113,6,1,11,0.126726914,0.005748972,5,carib
Cayo Fragoso,2.869023881,1.845281616,2,-24,17,0.122062458,0.000814404,7,carib
Cayo Francés,7.995519336,7.302344382,7,-29,56,0.130010353,0.005992399,7,carib
Cayo Galindo,3.621409048,5.019431146,5,-18,27,0.13247633,NA,9,carib
Cayo Genovés,4.442114579,4.763687151,4,-64,23,0.13571171,0.001178135,6,carib
Cayo Grande,5.168201384,3.564891519,3,-43,14,0.14875034,0.011807326,5,carib
Cayo Grande.1,2.698221139,2.31420765,2,-2,10,0.152384868,0.01939982,6,carib
Cayo Grande.2,4.83054383,2.246049661,2,-9,10,0.157655095,0.025390938,10,carib
Cayo Grande.3,6.428061323,8.263157895,8,0,16,0.129496505,0.004460412,8,carib
Cayo Grande.4,6.128485911,8.310240964,8,1,15,0.126152534,0.002900182,6,carib
Cayo Grande.5,11.70341058,8.537953795,9.5,-66,131,NA,NA,10,carib
Cayo Guajaba,4.039728112,4.259522717,3,-114,309,0.133509566,0.003121148,10,carib
Cayo Guanal,6.83950517,2.35725429,2,-17,74,0.137312472,0.00571714,9,carib
Cayo Guao,2.717897456,1.991596639,2,-1,6,0.133693308,0.000401343,7,carib
Cayo Guásimas,3.087125337,2.006734007,2,0,7,0.144714855,0.001091783,6,carib
