"SpeciesName","Genus","Species","Longitude","Latitude","First","Second","Third","datasetKey","areas"
"Tropidophis semicinctus (Gundlach & Peters, 1864)","Tropidophis","semicinctus","-81.767134","22.744896","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis haetianus hemerus Schwartz, 1975","Tropidophis","haetianus","-69.734164","18.818553","Dominican Republic",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",83104562500
"Tropidophis canus (Cope, 1868)","Tropidophis","canus","-73.355844","21.035869","Bahamas","Great Inagua Island",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1765125000
"Tropidophis haetianus (Cope, 1879)","Tropidophis","haetianus","-69.829512","19.349399","Dominican Republic",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",83104562500
"Tropidophis pardalis (Gundlach, 1840)","Tropidophis","pardalis","-83.372784","22.668666","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-83.371754","22.667399","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis haetianus (Cope, 1879)","Tropidophis","haetianus","-71.182179","19.450464","Dominican Republic",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",83104562500
"Tropidophis curtus (Garman, 1887)","Tropidophis","curtus","-76.24331","25.19738","Bahamas","Eleuthera Island",NA,"832b8188-f762-11e1-a439-00145eb45e9a",528125000
"Tropidophis curtus (Garman, 1887)","Tropidophis","curtus","-75.09836","23.16781","Bahamas","Long Island",NA,"832b8188-f762-11e1-a439-00145eb45e9a",6117437500
"Tropidophis curtus (Garman, 1887)","Tropidophis","curtus","-75.09836","23.16781","Bahamas","Long Island",NA,"832b8188-f762-11e1-a439-00145eb45e9a",6117437500
"Tropidophis haetianus (Cope, 1879)","Tropidophis","haetianus","-68.985174","18.925911","Dominican Republic",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",83104562500
"Tropidophis curtus (Garman, 1887)","Tropidophis","curtus","-76.13504","25.09054","Bahamas","Eleuthera Island",NA,"832b8188-f762-11e1-a439-00145eb45e9a",528125000
"Tropidophis pardalis (Gundlach, 1840)","Tropidophis","pardalis","-81.823477","23.148947","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis haetianus (Cope, 1879)","Tropidophis","haetianus","-70.583592","18.549083","Dominican Republic",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",83104562500
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-74.561261","20.344856","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-74.632616","20.08025","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-75.707951","19.961018","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-74.839278","20.424648","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis haetianus (Cope, 1879)","Tropidophis","haetianus","-69.84191","18.52353","Dominican Republic",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",83104562500
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-75.716016","19.961339","Cuba",NA,NA,"7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1",1.22e+11
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-75.716016","19.961339","Cuba",NA,NA,"7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1",1.22e+11
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-75.716016","19.961339","Cuba",NA,NA,"7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1",1.22e+11
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-75.716016","19.961339","Cuba",NA,NA,"7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1",1.22e+11
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-75.716016","19.961339","Cuba",NA,NA,"7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1",1.22e+11
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-75.716016","19.961339","Cuba",NA,NA,"7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1",1.22e+11
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-75.716016","19.961339","Cuba",NA,NA,"7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1",1.22e+11
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-75.716016","19.961339","Cuba",NA,NA,"7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1",1.22e+11
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-75.716016","19.961339","Cuba",NA,NA,"7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1",1.22e+11
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-75.716016","19.961339","Cuba",NA,NA,"7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1",1.22e+11
