"","island","mean","sd"
"516","Providenciales",0.201123538613319,0.0194491343958847
"517","Little Water & Pine Cay",0.194633660217126,0.0323942453932472
"518","Dellis Cay",0.214831098914146,NA
"519","Plana Cays",0.137294590473175,NA
"520","Plana Cays",0.142918104926745,0.0018499371972577
"521","Andros",0.144306227564812,NA
"522","Andros",0.157920964062214,0.0192541450027621
"523","Brigantine Cay",0.136978290975094,0.00735375051804441
"524","Andros",0.145702160894871,0.0211015256666917
"525","Andros",0.131619438529015,0.00118554870176294
"526","Andros",0.161301873624325,0.0159371880249548
"527","Andros",0.162507370114326,0.018658683090703
"528","Andros",0.140977397561073,NA
"529","Andros",0.140977397561073,NA
"530","Andros",0.129815210898717,0.000270555597251123
"531","Andros",0.166662484407425,0.00835613955289113
